TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_NAME,COLUMN_NAME
dbo,Bets,FK_Bets_Card,CardID
dbo,Bets,FK_Bets_Game,GameID
dbo,Bets,PK__Bets__454024A91FB612CC,BetID
dbo,CourseDefaults,FK_CourseDefaults_Course,CourseID
dbo,CourseDefaults,FK_CourseDefaults_Tee,DefaultTeeID
dbo,CourseDefaults,PK_CourseDefaults,CourseID
dbo,CourseDefaults,PK_CourseDefaults,Gender
dbo,Courses,PK__Courses__C92D71874200C325,CourseID
dbo,HoleDefaults,FK_HoleDefaults_Tee,DefaultTeeID
dbo,HoleDefaults,PK_HoleDefaults,DefaultTeeID
dbo,HoleDefaults,PK_HoleDefaults,Gender
dbo,HoleDefaults,PK_HoleDefaults,HoleNumber
dbo,HoleOverrides,FK_HoleOverrides_Tee,TeeID
dbo,HoleOverrides,PK_HoleOverrides,TeeID
dbo,HoleOverrides,PK_HoleOverrides,Gender
dbo,HoleOverrides,PK_HoleOverrides,HoleNumber
dbo,Invitations,FK_Invitations_Card,CardID
dbo,Invitations,FK_Invitations_Game,GameID
dbo,Invitations,PK__Invitati__033C8D2F98F5E58D,InvitationID
dbo,Invitations,UQ__Invitati__A25C5AA77A2E33D4,Code
dbo,LiveCardPlayers,PK_LiveCardPlayers,CardID
dbo,LiveCardPlayers,PK_LiveCardPlayers,PlayerID
dbo,LiveCards,FK_LiveCards_Game,GameID
dbo,LiveCards,PK__LiveCard__55FECD8EF6B28089,CardID
dbo,LiveGames,FK_LiveGames_Course,CourseID
dbo,LiveGames,FK_LiveGames_Tee,TeeID
dbo,LiveGames,PK__LiveGame__2AB897DD3628D7FB,GameID
dbo,LiveScores,FK_LiveScores_Card,CardID
dbo,LiveScores,PK__LiveScor__7DD229F1A652A8F3,ScoreID
dbo,LiveScores,UQ_LiveScores_PlayerHole,CardID
dbo,LiveScores,UQ_LiveScores_PlayerHole,PlayerID
dbo,LiveScores,UQ_LiveScores_PlayerHole,HoleNumber
dbo,LiveTotals,FK_LiveTotals_Card,CardID
dbo,LiveTotals,PK__LiveTota__F4CD17DFC17A6C50,TotalID
dbo,LiveTotals,UQ_LiveTotals_Entity,CardID
dbo,LiveTotals,UQ_LiveTotals_Entity,EntityID
dbo,TeeRatings,FK_TeeRatings_Tee,TeeID
dbo,TeeRatings,PK_TeeRatings,TeeID
dbo,TeeRatings,PK_TeeRatings,Gender
dbo,Tees,FK_Tees_CourseID,CourseID
dbo,Tees,PK__Tees__5816A3B7B15A2C3F,TeeID